timestamp,event,page,props_json
2026-02-16T14:38:31.390405+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-4273"", ""artist"": ""Frans Jansz Post"", ""source"": ""Explorer""}"
2026-02-16T14:38:31.391488+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4273"", ""artist"": ""Frans Jansz Post"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:32.588578+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-742"", ""artist"": ""Frans Jansz Post"", ""source"": ""Explorer""}"
2026-02-16T14:38:32.589433+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-742"", ""artist"": ""Frans Jansz Post"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:35.187937+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2655"", ""artist"": ""Frans Sant-Acker"", ""source"": ""Explorer""}"
2026-02-16T14:38:35.188811+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2655"", ""artist"": ""Frans Sant-Acker"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:39.008733+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-185"", ""artist"": ""Frans van Mieris (II)"", ""source"": ""Explorer""}"
2026-02-16T14:38:39.009767+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-185"", ""artist"": ""Frans van Mieris (II)"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:41.022395+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-378"", ""artist"": ""Frans Snijders"", ""source"": ""Explorer""}"
2026-02-16T14:38:41.023632+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-378"", ""artist"": ""Frans Snijders"", ""source"": ""selection_checkbox""}"
2026-02-16T14:40:23.225699+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-C-185"", ""artist"": ""Frans van Mieris (II)"", ""title"": ""De kruidenierster"", ""year"": 1715, ""has_notes"": false}"
2026-02-16T14:40:59.402627+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T14:41:26.499609+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T14:42:13.527871+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T14:58:18.196844+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T14:59:05.509139+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T14:59:44.438963+00:00,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 24}"
2026-02-16T14:59:49.806775+00:00,page_view,My_Selection,"{""has_favorites"": true, ""favorites_count"": 24}"
2026-02-16T15:00:09.023219+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-16T15:00:15.031508+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-C-185""}"
2026-02-16T15:00:23.069596+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-16T15:00:27.418397+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-16T15:00:33.051523+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-A-133""}"
2026-02-16T15:00:53.779031+00:00,page_view,PDF_Setup,"{""has_existing_config"": true}"
2026-02-16T15:01:03.220861+00:00,pdf_meta_reset,PDF_Setup,{}
2026-02-16T15:01:40.441539+00:00,page_view,Statistics,{}
